Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
Fifth Av/59th St	40.641362	-74.017881	NYYYRYYYW	Ann Schaumburger	Urban Oasis	1997	Glass mosaic on station façade and throughout station	A menagerie of animals and birds from Central ParkYYY rendered in glass mosaicYYY can be seen throughout the subway station and its facade.  ’As a painter and teacherYYY’ says the artistYYY ’I wanted this piece to appeal to children and to the child in the adult.  I'm happy that the work is accessible and touchable.’  Ann Schaumburger's playful creatures crawlYYY swimYYY leapYYY and fly from floor to ceiling throughout the station in a series of friezes.  To prepare her designsYYY she photographed animals and animal statues in the Central Park Zoo.  The result is a series of beguiling animal families grouped by habitat:  a tropical rain forestYYY a polar landscapeYYY and a park environment.  ’We chose glass rather than ceramic for the mosaics because of its greater translucency and color gradationYYY’ says Schaumburger.  ’And I selected a color palette that echoes the colors in the station's original historic tile workYYY much of which has been retained.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Urban Oasis</a>"
Fifth Av-53rd St	40.645069	-74.014034	EYYYV	Drenttel Doyle and Partners	53rd Street Art Stop	2000	Porcelain enamel on downtown platform wall	The museums and cultural institutions in midtown Manhattan are on display at Art Stop at the Fifth Avenue-53rd Street subway station.  Drenttel Doyle and Partners were selected by MTA Arts for Transit and area institutions as the graphic designers for the project.   The result is 73 porcelain enamel panels on the station platform that invite and inform riders of the area's offeringsYYY which include  the Museum of Television and RadioYYY the Municipal Art SocietyYYY the American Folk Art MuseumYYY the Donnell Library Center of the New York Public LibraryYYY and the Museum of Modern Art.  Selected Arts for Transit projects are also spotlighted.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">53rd Street Art Stop</a>"
Fifth Av-53rd St	40.645069	-74.014034	EYYYV	Ralph Fasanella	Subway Riders	1950/1995	Oil on canvas on mezzanine	Ralph Fassanella painted a subject with which he was deeply familiar.  Talking about {Subway Riders}YYY the artist reflected: ’I'd ride the subway every day... I'd ride and ride and sketch and sketch.  I love the subway.  It pulls the city togetherYYY pulls people together in a magic way.  Here I show the subway riders at night after a hard day's work.  Everyone is separateYYY aloneYYY but very much together.  It's noisy with the creaks and squealsYYY but peaceful tooYYY because we move to a rhythm and cadence that gets inside us; that's comfortingYYY like the noise of the city itself.’  Fasanella grew up in Greenwich VillageYYY and worked as an iceman and union organizerYYY producing paintings in what would become known as urban folk style.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Subway Riders</a>"
Fleetwood	#N/A	#N/A	Harlem Line	Arthur Gonzalez	Time Catcher	1990	Bronze sculpture on interior overpass wall	Arthur Gonzalez has created a monumental serial artwork with large-scale bronze figures that are located at three stations on MTA Metro-North Railroad's Harlem line.  The work uses the themes of time and travel as the central focus.  {Time Catcher} at Fleetwood is a polychrome bronze featuring a historic map of the region and a worker with his toolsYYY a tribute to those who built the railroad.  {(See Crestwood and Tuckahoe for the other two works in the series.)}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline"">Time Catcher</a>"
Flushing Av	40.70026	-73.941126	JYYYM	Robin Holder	Migration	2006	Laminated glass in mezzanine windows and platform windscreens	This extensive artwork contains 34 panels of laminated glassYYY that focus on the artist's explorationYYY in her wordsYYY of ’spatial relationshipsYYY colorYYY and movement as well as issues of humanityYYY cultureYYY and identity.’  The imagery is abstractYYY with precision in the quality of line and formsYYY which was a particular challenge since the medium is glass.  Robin Holder says images ’incorporate symbols from various cultures that relate to the theme of: interactionYYY movementYYY and society in motion. I hope that this work promotes a sense of celebration and reflects the vivacityYYY energy and liveliness of my fellow New Yorkers who use the Flushing Avenue Station.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Migration</a>"
Flushing-Main St	40.7596	-73.83003	7YYY7	Ik-Joong Kang	Happy World	1999	Ceramic tiles on mezzanine wall	Ik-Joong Kang's work expresses and celebrates FlushingYYY QueensYYY which is among the city's most ethnically diverse communities and home to a burgeoning Chinatown.  Composed of over 2YYY000 unique ceramic tilesYYY the mural shows community eventsYYY city viewsYYY family gatheringsYYY people at workYYY and children at play.  ’{Happy World} began when I was riding the subway every day.  I was fascinated by the different people and things I sawYYY so I took small canvases with me and began to create the images that became the work.  I hope these symbols... will make the tens of thousands of people who ride the 7 train every day talk about what they see and share their impressions.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Happy World</a>"
Fordham Road	40.862803	-73.901034	4	Moses Ros	PatriasanaYYY Wholesomeland	2005	Faceted/laminated glass in mezzanine windows	Moses Ros' art is created in faceted and laminated glass within a series of windows to realize his vision.  In {PatriasanaYYY Wholesomeland}YYY figures joyfully dance across the stationYYY their brilliant colors and undulating movements speaking to the vibrancy of the community.  The figures are placed within backgrounds shaped to represent the items on sale in the surrounding shops along Fordham Road - an umbrellaYYY a hatYYY a coatYYY bootsYYY pantsYYY and gloves.  The border between the panels and the rectangular window edge is made of translucent glassYYY that lets in the colors of the street outside to serve as a muted backdrop.  The original images were created as paintings on canvas and carved wood before being translated into fused and faceted glass windows.  The artist saysYYY ’Their energy is inspired by the brilliant colorsYYY musicYYY and dance of the Caribbean - the essence of life itself.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">PatriasanaYYY Wholesomeland</a>"
Franklin Av	40.680596	-73.955827	CYYYS	Eric Pryor	Life and Continued Growth	1999	Faceted glass on platform wall	In {Life and Continued Growth}YYY Eric Pryor's 29 faceted glass windows use both traditional African and contemporary African American images.  Antelope horns signify movement and are a symbol for material prosperity.  Butterflies signify the life cycleYYY from gestation to birth to the change into adulthood.  The importance of music and rhythm are shown through African drumsYYY a saxophoneYYY and trumpetsYYY rendered in vivid redYYY goldYYY and purple in contrast to the receding shades of greenYYY blue and turquoise.  ’The Franklin Avenue-Fulton Street area's rich African American heritage is being rebornYYY’ says Pryor. ’Change and opportunity are arriving and the shuttle line both encourages and reflects how the community's new optimism.  {Life and Continued Growth} emerges from a spirit that is rooted in traditional African-American culture and the new energy that is making it soar again.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=C&station=1"">Life and Continued Growth</a>"
Freeman St	40.829993	-73.891865	2YYY5	Daniel Hauben	The El	2007	Faceted glass in platform windscreens	The elevated train stations located in the Bronx inspired {The El}. Artist Daniel Hauben a Bronx residentYYY has always been drawn to and inspired by the sense of scale provided by these immense structures when contrasted with their neighborhood settingsYYY and his scenesYYY translated into faceted glass mosaicsYYY depict the unique character of the Bronx through compositionYYY patternYYY lightYYY darknessYYY and movement through the canvas. Hauben commentedYYY that as one ’looks down a long street topped by the receding concentric pattern of the elevated structureYYY one has a feeling of both great depth and the sprawling vastness of the city.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">The El</a>"
Fulton St/Broadway-Nassau	40.710368	-74.009509	AYYYCYYYJYYYMYYYZYYY2YYY3YYY4YYY5	Frederick Dana Marsh	Marine Grill Murals	ca. 1913; installed 2000	Glazed terracotta murals and painted cast iron gates created for the McAlpin Hotel in 1913; reinstalled in passageway;  to be relocated to the new Williams Street entrance to the AYYY CYYY 2YYY 3 as part of	At the turn of the twentieth century the McAlpin Hotel was one of the places to be seen.  Frederick Dana Marsh created a series of twenty terra cotta murals for its wallsYYY with maritime themes celebrating New York's important seaport.  Times changeYYY and the hotel became apartments and the murals were removed.  In 2000YYY six of the murals were installed in the station and was the Marine Grill's famed ironwork entrance gate.  All of this blends well with the terra cotta plaques installed elsewhere in the system by the original builders of the subway. *{The rebuilding of the stationYYY as part of the Fulton Street Transit CenterYYY is underway and requires the murals' removalYYY restorationYYY and relocation.}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Marine Grill Murals</a>"
Fulton St/Broadway-Nassau	40.710368	-74.009509	AYYYCYYYJYYYMYYYZYYY2YYY3YYY4YYY5	Nancy Holt	Astral Grating	1987	Steel and light sculpture in passageway ceiling between AYYY C and 4YYY 5 stations	Nancy Holt's steel ceiling sculpture incorporating lighting at the Fulton Street/Broadway-Nassau subway stationYYY is an example of Arts for Transit's early efforts to foster collaborations with station architectsYYY (in this caseYYY Lee Harris Pomeroy) to integrate the artwork with the architecture.   An environmental artistYYY Holt creates art by giving physical form to universal cycles of the sunYYY moonYYY and stars. *In {Astral Grating}YYY Holt has surrounded lights with graduated circular rings making domed openings in a dropped steel grate ceiling.  ’The rings and light fixtures in this ceiling light sculpture are in the configuration of the stars in five constellations: AriesYYY AurigaYYY Canis MajorYYY CygnusYYY and Piscus AustrinusYYY’ says Holt.  The number of lights in a cluster and the diameter of the domed openings vary in size according to the brightness of the stars represented. *{The plan for the new Fulton Street Transit CenterYYY includes the reinstallation of Astral Grating  in the reconfigured passageways.}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Astral Grating</a>"
Gates Av	40.68963	-73.92227	JYYYZ	Chris Wade Robinson	Dream Train	2002	Faceted glass in mezzanine windows and platform windscreens	In {Dream Train}YYY Chris Wade Robinson pays tribute to the spirit of the subway in his 16 panels of faceted glass that narrate the daily motions of residents interacting with the movement of trains through the urban landscape.  Robinson saysYYY ’A simple subway ride is a cultural explorationYYY a cross-section of a city as it moves from past to present and on to tomorrow.  All racesYYY creedsYYY and colors interconnect on a common path to an endless variety of destinations. Each rider is enriched by daily discoveries of new facesYYY placesYYY and things....They are vignettes made of memory and experienceYYY an ode to a lifetime spent riding in and dreaming on the trainYYY as it speeds through the darkness and into the light.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Dream Train</a>"
Grand Army Plaza	40.675235	-73.971046	2YYY3	Jane Greengold	Wings for the IRT: The Irresistible Romance of Travel	1995	Bronze and terra cotta plaques on mezzanine walls	The bronze and terra cotta art for this station references the triumphal Soldiers and Sailors Memorial Arch located above the Grand Army Plaza subway stationYYY  which celebrates the Union army's victory in the Civil War.  Located opposite Brooklyn's Prospect ParkYYY it is topped by a dramatic tableau of two Winged VictoriesYYY the ancient symbol of triumphYYY and four rearing horses leading a chariot carrying the figures of Columbia.  The arch is reflected Jane Greengold's {Wings for the IRT: The Irresistible Romance of Travel}.  Terra cotta bas relief mosaics of a Winged Victory appear at the base of each of the station's entrance staircases; three bronze Winged Victory plaques and a large terra cotta bas relief mosaic of two Victories leading a subway car also adorn the station.  AppropriatelyYYY the relief also alludes to the history of the subway system; the first logo for the Interboro Rapid Transit (IRT) was ’{Flying Wheels}YYY’ a subway car with wingsYYY and the artwork's title includes the initials of the IRT.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Wings for the IRT: The Irresistible Romance of Travel</a>"
Grand Central Terminal	#N/A	#N/A	Grand Central Terminal	Donald Lipski	Sirshasana	1998	Aluminum and polyester resin sculpture with crystals in ceiling at 43rd Street in Grand Central Market	In {Sirshasana}YYY a sculptural chandelier in the shape of a golden-rooted olive tree suspended above the street-level entrance to the Grand Central MarketYYY Donald Lipski drew upon Hindu and Greek lore.  ’To the ancient Greeks the olive tree symbolized freedom and purityYYY’ he explains.  ’And the name Sirshasana refers to a yoga headstand posture - the inverted tree ....’  With branches that span twenty-five feet and 5YYY000 brilliant crystal pendantsYYY the tree dominates the areaYYY bringing the feel of an outdoor market.  The space was designed so that morning sun bathes the tree and floods the market with light.  The form has writhingYYY enticingYYY and unexpected elementsYYY with the base of the tree finished in gold and crystals dangling in place of olives   In addition to alluding to the decorative chandeliers in Grand CentralYYY the tree is a comment on the allure of the exotic and tempting wares sold in the marketplace.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal"">Sirshasana</a>"
Grand Central Terminal	#N/A	#N/A	Grand Central Terminal	Ellen Driscoll	As AboveYYY So Below	1998	GlassYYY bronzeYYY and mosaic in Grand Central North passageway	The historic ceiling in the main concourse at Grand Central Terminal reveals the night sky with golden stars that form the constellations.  Grand Central becomes a metaphor for our connection with the wider world beyond New York City and {As AboveYYY So Below} takes the viewer around the world to the night sky above five different continentsYYY representing mythsYYY civilizationYYY heavensYYY and the underworld.  These scenes bring to life ancient tales that demonstrate how the stories told about the heavens reflect the way we live on earth.  A close look  at any of the faces in the work reveal their diversityYYY  as indeedYYY the people in these mosaics represent many different backgrounds.  HoweverYYY the artist has altered them to take on the attributes of mythical figures.  The work summons the everlasting and the ephemeralYYY reminding us of our spiritual and worldly past while we hurry through the station.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal"">As AboveYYY So Below</a>"
Grand Central Terminal	#N/A	#N/A	Grand Central Terminal	Roberto Juarez	A Field of Wild Flowers	1997	Mixed-media on walls of Station Master's Office	Roberto Juarez creates a place of refreshment and repose with his lush garden landscapeYYY designed to  appear as though it were seen through the windows of a slow-moving train.  The work is one of the more fragile pieces in the systemYYY executed in a multi-media collage that he describes as: ’...consisting of layers of gessoYYY under-paintingYYY urethaneYYY and varnishYYY I also utilize natural materials - rice paper and a dusting of peat moss - to give my work added textureYYY strengthYYY and beauty.’ *{A Field of Wild Flowers} was created to be compatible with the architecture of Grand Central TerminalYYY and it repeats some of its historic interior details such as the representation of fruitYYY acornsYYY and garlands.  It also provides a  contemporary work of art that stands on its ownYYY bringing a touch of serenity to the surrounding whirl of activity.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal"">A Field of Wild Flowers</a>"
Grand Central-42nd St	40.754222	-73.984569	SYYY4YYY5YYY6YYY7	Christopher Sproat	V-Beam	2000	Functional stainless steel ceiling sculpture on  7  platform incorporating lightingYYY signageYYY LEDYYY and fan system	{V-Beam} is a functional structure and an aesthetic statement.  Artist Christopher Sproat has combined standard transportation hardware - signageYYY air circulationYYY and safety equipment - with his artistic sensibility to integrate the sculpture into the transit environment.  The artwork takes the form of a large VYYY which Sproat judged to be the most practical shape in terms of access and stabilityYYY and is equipped with extruded aluminum panels and light-emitting diodes to carry out its functions.  ’Rather than make an artistic or decorative statement and add it to the station so that the viewer knows 'this is artYYY' I chose to make the entire space exuberant and uniqueYYY’ the artist says.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">V-Beam</a>"
Grand Central-42nd St	40.754222	-73.984569	SYYY4YYY5YYY6YYY7	Dan Sinclair	Fast Track and Speedwheels	1990	Two mixed-media sculptures in passageway between the shuttle S and 4YYY 5YYY 6 lines	Dan Sinclair's {Fast Track and Speedwheels} are assemblages crafted from bright metallic sections that include wavy aluminum sheetsYYY steel wheelsYYY brass disksYYY copper springs and wires.  Installed within a long passageway between the subway and Grand Central Terminal aboveYYY they interpret the speedYYY energy and train travel imagery into a series of relief sculptures.  The art-deco shapes and various turning wheelsYYY spinning gears and pistons add to the aura of the locationYYY below one of America's premiere rail stations.  ’I want my sculpture to make people think of the power of the engines that drive the trainsYYY the speed and efficiency of them . . . the sculptures also reflect the architectural elements of Times Square and the Art Deco glamour of Radio City Music HallYYY’ says the artist.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">Fast Track and Speedwheels</a>"
Grand Central-42nd St	40.754222	-73.984569	SYYY4YYY5YYY6YYY7	Jackie Ferrara	Grand Central: ArchesYYY TowersYYY Pyramids	2000	Ceramic mosaic band on walls of S platformYYY passageway to 7 platformYYY and upper passageway to SYYY 4YYY 5YYY 6YYY 7 and Grand Central Terminal	The passageways and waiting areas of Grand Central's subway stations are like a bustling cityYYY an underground community - but without a skyline.  This mosaic artwork brings architectural views down below. *Ferrara has long been interested in the simple and repetitive forms of buildingYYY and she uses forms that are simple and schematicYYY almost primitive-looking structures.  Taken togetherYYY they lend a unity and meditative character to the space; as people move through the platforms and passagewaysYYY the images seem to shiftYYY and no two vistas are the same.  Ferrara thinks of these as pieces of a mathematical puzzle.  The spare simplicity and economy of design attracts viewers.  Nothing is casual or unintentional in the artist's designYYY which she describes: ’This sequence of stripe/image is calculated.  It can be seen as images on a strip of filmYYY or a line of faces framed in the windows of a passing train.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">Grand Central: ArchesYYY TowersYYY Pyramids</a>"
Great Neck	#N/A	#N/A	Port Washington Branch	David Saunders	Conductor's Watch and Key Chain	1992	Aluminum sculpture on platform wall	To symbolize the romance and excitement of train travel's rich historyYYY all under watchful eye of the train conductorYYY David Saunders immortalized the conductor's watch and key chain.  Made of aluminum tubing to echo the handrails and silver pipes that run along the walls of the station platformYYY the sculpture blends into the overall design of the site. ’The chain mimics the movement of the Long Island Rail Road's long silver trains that take commuters to and from their destinationsYYY’ says SaundersYYY ’those speedy back and forth movements are echoed in the long swooping gestures of the sculpture's silver lines.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch"">Conductor's Watch and Key Chain</a>"
Greenport	#N/A	#N/A	Ronkonkoma Branch	Anita Thacher	Illuminated Station	2005	Lighting and projection on station façade and roof	{Illuminated Station} takes us to the past when GreenportYYY and the North Fork of Long IslandYYY was home to farmersYYY fishermenYYY storekeepersYYY and railroad workers.  Today Greenport is the hub of a growing population of year-round and seasonal residentsYYY an artists' haven and departure point for vacation spots nearby.  Anita Thacher creates evocative light-works - art whose effect is created through electrical illumination.  Here she uses numerous lighting techniques.  The stationhouse's roof is outlined with LED illumination in blueYYY and the areas surrounding the building are given a deeper blue light.  From inside the building comes a yellow glow suggesting candle light or gaslight.  On the station walls and roofYYY projected light forms images of an American Indian pictographYYY emphasizing the importance of the first people to live on Long Island.  The man and canoe in the pictograph was made from a plaster cast of an Indian artifact discovered in nearby Orient.  Through each work the past meets the present and a special place in the community is made more meaningful by the artist.	in collaboration with East End Seaport Museum and Marine Foundation	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=ronkonkomabranch"">Illuminated Station</a>"
Gun Hill Road	40.87785	-73.866256	2YYY5	Andrea Arroyo	My Sun (Mi Sol)YYY My Planet (Mi Planeta) and My City (Mi Ciudad	2006	Faceted glass in platform windscreens	In her seriesYYY Andrea Arroyo creates colorful figures in faceted glass to portray her theme of sunYYY planetYYY and city.  The glassworks bring lively color to the stationYYY providing visual interest and a place for the commuter to concentrate on positive thoughts and energy.  Inspired by life in the cityYYY the artist wanted to convey humanityYYY communityYYY and harmony through her artwork.  As she explainsYYY ’In my work I celebrate nature and humanityYYY while examining the notions of genderYYY race and identity.  My interest in the human form derives from my background in dance.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">My Sun (Mi Sol)YYY My Planet (Mi Planeta) and My City (Mi Ciudad</a>"
Halsey St	40.68637	-73.916559	JYYYZ	 SOL'SAX	SOL'SCRYPT	2008	Faceted glass in mezzanine windows and platform windscreens	Based upon African and African-American culture and history and fused with the contemporary music and pop culture from his Brooklyn neighborhoodYYY SOL'SAX's faceted glass project addresses in visual form the layers of memory and culture that  influence and inspire his work.*The vibrant colors and intricate designs in the art panels represent the artist's creative explorations. Images of city life are melded with symbols of ancient African cultural influences and relics. The compositions are intended to provide guidanceYYY and protectionYYY inspiration for all traveling through the station.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">SOL'SCRYPT</a>"
Harlem - 125 St	#N/A	#N/A	Harlem Line	Alison Saar	Hear the Lone Whistle Moan	1991	Bronze grilles and reliefs on platforms	Saar's work consists of figures standing against a grille as they wait on the north and south platforms. *The titleYYY {Hear the Lone Whistle Moan}YYY is from a spiritual that uses the train as a metaphor for the passage to heaven.  Trains have often been associated by African Americans with escape and the Underground Railroad in particular.  In the words of the artistYYY ’...these pieces...create a simple narrative of two people.  OneYYY the young woman coming to the city in hopes of advancing her careerYYY the otherYYY a successful businessman leaving the city to return to his hometown.  I believe these two scenarios to be examples of how many Americans have used the railroads to and from New York throughout history.  Yet I was also addressing the specific and rich tradition of the role of the railroad in general in the lives of African Americans.’  A third figure is of a conductor at the top of the platform stairs.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline"">Hear the Lone Whistle Moan</a>"
Harlem - 125 St	#N/A	#N/A	Harlem Line	Terry Adkins	Harlem Encore	1999	Aluminum panels with ornamental back-lighting on overpass	MTA Metro-North's two-mile Park Avenue Viaduct carries trains in and out of Grand Central Terminal.  Parts of the structure date back to the 19th centuryYYY including the landmark 125th Street railroad stationYYY that has been restored.   The station is a busy site and an entry point to a community that is alive 24/7. *For the bridgeYYY sculptor Terry Adkins's created {Harlem Encore} in two distinct silhouetted aluminum relief panels.  The work celebrates Harlem's past achievements and bright future.  In the polished images that flank the bridge's western façadeYYY Adkins has memorialized the Afro-Atlantic ancestors with figures that reflect the spiritual triumph over adversity.  On the eastern side the art salutes continuity and urban life with figures seen in the midst of skyscrapers.  On both sidesYYY sphinxes and streaming suns add strengthYYY dignityYYY and timelessness.  At nightYYY blue back lighting accentuates {Harlem Encore}'s powerful presence on the street.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline"">Harlem Encore</a>"
Harrison	#N/A	#N/A	New Haven Line	Tova Snyder	Railroads and Rooftops	2002	Faceted glass in stationhouse and elevator towers	{Railroads and Rooftops} consists of 12 faceted glass panels - four panels in the dormer windows of the station house and four panels in each of the two elevator towers.  In the dormer windows the artist expressed the importance of the train through the landscape of downtown Harrison.  For the top sections of the two elevator towers she created images depicting commuters and trainsYYY with one tower showing contemporary scenes and the other depicting corresponding scenes in a historical context.  During her research into the history of HarrisonYYY the artist discovered the vital role of the railroad to the development of the community; which often was a chief factor in whether a town grew or declined.  The railroad helped create downtown Harrison and brought immigrant workers who eventually became part of the community.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=newhavenline"">Railroads and Rooftops</a>"
Hartsdale	#N/A	#N/A	Harlem Line	Tom Nussbaum	Workers	1991	COR-TEN® steel sculpture on station canopies	In his silhouetted figures at the Scarsdale and Hartsdale stationsYYY Tom Nussbaum directly acknowledges -and celebrates- those most likely to view his artwork there - commuters and railroad workers.  At the Hartsdale stationYYY twenty-one life-sized figures are placed along the center of the open space between the two train tracks.  In additionYYY monumentally-scaled people made of iron are seen in the station's track bedYYY busy working: guiding trainsYYY keeping the track in good repair and throwing switches.  Nussbaum saysYYY ’My approach to this kind of figurative work reflects an on-going interest in American folk sculpture of all kindsYYY especially whirligigs and weather vanes.’  {(See Scarsdale for the other work in the series.)}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline"">Workers</a>"
Hempstead	#N/A	#N/A	Hempstead Branch	Ron Baron	Lost and Found: An Excavation Project	2005	Cast bronze sculpture and seating in plaza	From afar the tower of luggage is puzzling; draw closer and you see that the luggage is cast in bronze and colored in a natural patina.  The multi-faceted installation includes special cast bronze seating and memorabilia that speaks to the community's heritage and memories.  Among the Long Island-related items are an edition of {Newsday} featuring the Islanders winning the Stanley CupYYY an NBA basketball (Julius Erving was from nearby Roosevelt)YYY a Jets football reflecting the team practices at Hofstra UniversityYYY and yearbooks from Hempstead High School highlighting community eventsYYY such as Martin Luther King's address to students of the high school in 1968.  Ron Baron refers to himself as a ’cultural archaeologist;’ and he culls everyday objects from streets and sidewalksYYY thrift shopsYYY and garage sales.  He then forms his monumentsYYY ’geological’ constructs of his findsYYY which transform the objects into something completely new.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=hempsteadbranch"">Lost and Found: An Excavation Project</a>"
Hewes St	40.70687	-73.953431	JYYYM	Mara Held	El in 16 Notes	2002	Faceted glass in mezzanine windows and platform windscreens	Artist Mara Held's {El in 16 Notes} is a meditation on variations in pattern caused by differing qualities of light and the creation of overlapping forms and layers. The inspiration for the imagery of the piece was originally derived from cut-out dress patterns.  Through the minimal yet elegant shifts in color and pattern that are occasionally pierced by playful curving linesYYY the work enables the viewer to witness the light and the neighboring skyline as it emerges through the glass planes.  Held played particular attention to the colors and role of natural light to animate and illuminate the workYYY which graces the platform with light and color.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">El in 16 Notes</a>"
Hicksville	#N/A	#N/A	Port Jefferson Branch	Roy Nicholson	Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead Plain	2002	Glass mosaics on waiting room walls	In the {Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead Plain} muralsYYY Roy Nicholson takes viewers back in time.  The area around Hicksville was once a notable rarityYYY an example of an original prairie landscape most often associated with the Midwest.  Nicholson recaptures that settingYYY in look and spiritYYY as if seen from a speeding train.  The colors vary according to the time of day depicted - soft green and blue hues for sunrise in {Morning Transit}YYY and red and blue hues for sunset in {Evening Transit}.  ’Each commuter imagines his or her own personal sceneryYYY’ says Nicholson.  ’One can look at it over and over again and discover new images.’  The artist creates a contemplative meditation on landscape and rewards the viewer with an affectionate look back at Long Island before the post-war housing boom forever altered the landscape.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portjeffersonbranch"">Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead Plain</a>"
Hicksville	#N/A	#N/A	Port Jefferson and Ronkonkoma Branches	Roy Nicholson	Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead PlainYYY	2002	Glass mosaics on waiting room walls	In the {Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead Plain} muralsYYY Roy Nicholson takes viewers back in time.  The area around Hicksville was once a notable rarityYYY an example of an original prairie landscape most often associated with the Midwest.  Nicholson recaptures that settingYYY in look and spiritYYY as if seen from a speeding train.  The colors vary according to the time of day depicted - soft green and blue hues for sunrise in {Morning Transit}YYY and red and blue hues for sunset in {Evening Transit}.  ’Each commuter imagines his or her own personal sceneryYYY’ says Nicholson.  ’One can look at it over and over again and discover new images.’  The artist creates a contemplative meditation on landscape and rewards the viewer with an affectionate look back at Long Island before the post-war housing boom forever altered the landscape.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portjeffersonbranch"">Morning TransitYYY Hempstead Plain & Evening TransitYYY Hempstead PlainYYY</a>"
Houston St	40.728251	-74.005367	1	Deborah Brown	Platform Diving	1994	Glass mosaic on platform walls	Brown's seven glass mosaics are given a whimsical qualityYYY as the artist creates aquatic creatures that act like humans as they wait for the train to arrive at their underwater station.  A realistic beluga whale slides behind a commuter to read the newspaper headlinesYYY and in another sceneYYY a manatee waits patiently for a train seen approaching in the tunnel.  Turtles dive off a subway platform in the title piece of the series.  ’I wanted to explore the analogy between subway travel and the movement of our fellow creatures through their natural environmentYYY’ Brown says.  ’Underwater creatures navigate a complex spatial array of undersea passagewaysYYY much as we maneuver through our own manmade systems.  I thought it would be provocative to portray them in a part of our world most closely resembling their ownYYY but involved in activities familiar to us.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Platform Diving</a>"
