Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
Central Park North (110th St)	40.803967	-73.966847	"2,3"	Maren Hassinger	Message from Malcolm	1998	Glass mosaic on stairway walls and platform	"The artwork created for the station honors Malcolm X and consists of quotations within mosaic panels that line the stairway walls at the entrance and an upright wall on the station platform.  Speaking of her work, Maren Hassinger said, ?Basicall,Y I wanted to make something that behaved very physically with the site while also honoring the memory of Malcolm X...?  Among the quotations are ?{I believe in a society in which people can live like human beings on the basis of equality?}, and ?{Nobody's going to straighten out Harlem but us.}?   ?The upright wall within the station contains images/symbols of prowess on one side and Malcolm's words on the reverse side, the artist said.? Here the idea of power, leadership, and spiritual support are linked.  Malcolm X believed that we as African Americans have the power to determine our destinies.  This station is a reminder of that truth.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Message from Malcolm</a>"
116th St	40.805085	-73.954882	"2,3"	Vincent Smith	"Minton's Playhouse (uptown), The Movers and Shakers (downtown)"	1999	Glass mosaic on platform walls	"Vincent Smith's mosaic artwork showcases the nightlife, culture, and personalities from Harlem's heyday.  {The Movers and Shakers} portrays sixteen Harlem visionaries in front of the important places in their careers:  Edward ?Duke? Ellington and Bill ?Bojangles? Robinson at the Apollo Theater, Langston Hughes before the National Black Theater; and Zora Neale Hurston and Alvin Ailey at the Studio Museum. Nearb,Y Paul Robeson, Marcus Garvey and a young Thurgood Marshall appear.  On the opposite wall, jazz pioneers are rendered as composite figures inspired by Smith's recollections of those who created the new sound.    His musicians energetically play their music against a background of yellows, blues, and greens that hint at Africa and the Caribbean, inspiration for the rhythms and music that is jazz. The title, {Minton's Playhouse} refers to a popular jazz club Smith frequented."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Minton's Playhouse (uptown), The Movers and Shakers (downtown)</a>"
116th St	40.805085	-73.954882	6	Robert Blackburn	In Everything There Is A Season	2005	Glass mosaic on platform walls	"Robert Blackburn's dynamic abstract patterns rendered in mosaic suggests the color and movement of the streets above that the artist shapes into beautiful artwork for the subway station.   A master printmaker, Blackburn was a founding member of the Printmaking Workshop in Harlem.  In 2001 MTA Arts for Transit commissioned Blackburn to create a work for the 116th Street  subway station in Harlem.  In failing health, he chose artist Mei-Tei-Sing Smith, a Bearden Fellow at the Printmaking Workshop, to assist him on what would prove to be his last major project.  Once completed, his maquettes were enlarged and manufactured into ceramic and glass mosaics.  Blackburn died in April 2003."	assisted by Mei-Tei-Sing Smith	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">In Everything There Is A Season</a>"
116th St-Columbia University	40.805085	-73.954882	1	Michelle Greene	Railrider's Throne	1991	Steel chair on downtown platform	"With this art work, an oversized and grand chair made of steel, artist Michelle Greene introduces humor into the station.  The chair's design echoes subway motifs and achieves the subway founders' design mission to make the subway a pleasant and hospitable place.   ?I wanted to create a whimsical environment that allows the commuter to feel special as opposed to alienated,? says the artist.  ?I believe that art in a public space has the potential to stir people from their daily routine.?  Rider comments show that the art succeeds in doing so, as transit users engage in conversation and interact with the chair while waiting on the platform."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Railrider's Throne</a>"
125th St	40.811109	-73.952343	"4,5,6"	Houston Conwill	The Open Secret	1986	Bronze reliefs on mezzanine walls	"{The Open Secret}, a series of bronze reliefs mounted on the mezzanine level, was the first Arts for Transit commissioned work in the subwa,Y and it presents many of artist Houston Conwill's longstanding thematic concerns: communit,Y histor,Y and the creation of sacred spaces as each relates to the African American experience and quest for equality. {The Open Secret} holds mysteries, and viewers can look inside at the objects within.  Two triangular sections serve as a time capsule of life in Harlem in the 1980s.  ?The exploration might be of a place or into our own minds where we find eternal secrets that are saved and put in the time capsules for our children and their children,? Conwill says."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">The Open Secret</a>"
125th St	40.811109	-73.952343	"4,5,6"	Valerie Maynard	Polyrhythmics of Consciousness and Light	2003	Glass mosaic on mezzanine walls and above stairs	"Valerie Maynard's {Polyrhythmics of Consciousness and Light} was commissioned as part of a phase of renovation of the station that followed earlier work and the installation of {Open Secret }by Houston Conwill.  Maynard's work consists of glass mosaic murals along mezzanine and stairway walls that bring layers of pattern and color to an abstracted geometric field. Against the backgrounds are figural representations of musicians and others in joyful postures.  Maynard's images, in her words, ?capture the boundless energ,Y the beacon of light that was and is our own homegrown Mecca: the Harlem of our dreams, our imaginings and our reality.  Maynard dedicates the work above the stairwells to artists, in recognition of their ?flights of creativity.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Polyrhythmics of Consciousness and Light</a>"
125th St	40.811109	-73.952343	"2,3"	Faith Ringgold	Flying Home: Harlem Heroes and Heroines (Downtown and Uptown)	1996	Glass mosaic on platform walls	"{Flying Home} is a mosaic mural that honors Harlem notables and makes them fly.  The mural on one platform depicts performers, painters, and sports figures like Dinah Washington, Sugar Ray Robinson, and Josephine Baker.  The opposite platform shows leaders like Malcolm X and writer Zora Neale Hurston, brought to life in mosaics that recall the cultural zenith of Harlem.  The title is based on a Lionel Hampton song which Faith Ringgold heard as a child.  The artist sought  to capture its spirit in this work, which she expressed by posing the figures as if they were in flight.  ?I love every one of these people,? Ringgold says, ?I wanted to share those memories, to give the community - and others just passing through - a glimpse of all the wonderful people who were part of Harlem.  I wanted them to realize what Harlem has produced and inspired.?"	assisted by Tim Tait Designs	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Flying Home: Harlem Heroes and Heroines (Downtown and Uptown)</a>"
3rd Av-149th St	40.816109	-73.917757	"2,5"	Jos? Ortega	"Una Raza, Un Mundo, Universo (One Race, One World, One Universe)"	1996	Ceramic mosaic on platform walls	"Jose Ortega created a series of mosaic panels  inspired by the busy circle of streets above the 149th Street station, referred to locally as ?the Hub.?  Ortega uses circular forms to invoke universal themes and creates recognizable imagery within an organic and abstract web of patterns.  ?The circle is a powerful symbol,? he says. ?It connotes infinit,Y implies wholeness.  It has no beginning and no end.?  His brightly colored murals focus on three circular images: ?the sun as the provider of energy and the center of our universe, the earth as the sustainer of our humanly developed and natural worlds, and the face as the translator, both receptor and interpreter of the human and natural worlds.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Una Raza, Un Mundo, Universo (One Race, One World, One Universe)</a>"
Jackson Av	40.81649	-73.907807	"2,5"	George Crespo	Latin American Stories	2009	Faceted glass in platform windscreens and window niches	"{Latin American Stories} at Jackson Avenue station in the Bronx turns the station into a land of fairytales from Latin American myth and folklore. *Installed in four windscreens and two sets of window niches on the north and south platforms, the faceted glass artwork is composed of six stories from different regions of Latin America. Colorful imagery on the southbound platform celebrates myths of rain, wind, and fire, including the Mayan myth ?How Frogs Brought Rain to Mexico,? the Andean legend of the Condor King, and the Brazilian myth of ?How Fire Came to the Rain Forest.? *On the northbound platform, images tell tales about love and creation, including ?The King That Tried to Touch the Moon from the Lesser Antilles,? the story of ?The Beginning of the Sea? from the Greater Antilles, and a Latin American version of Cinderella. *Through the fluid rendering of the storylines in each panel, {Latin American Stories} is a picture book that reminds the diverse local community of these ancient stories and entices daily commuters to discover the universal beauty shared by every culture."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Latin American Stories</a>"
135th St	40.817894	-73.947649	"2,3"	Willie Birch	Harlem Timeline	1995	Glass mosaic on platform walls	"{Harlem Timeline} serves as a tribute to Harlem luminaries.  In this expansive mosaic mural, they are seen mingling with neighborhood residents.  On the downtown platform, we see Reverend Adam Clayton Powell Jr., Langston Hughes, Joe Louis, and Charlie Parker in action.  The blues - both the musical form and the color - are represented on the uptown side, with Billie Holida,Y bathed in indigo.  Elsewhere, Malcolm X, Marcus Garve,Y Paul Robeson, John Coltrane, and Thelonious Monk express themselves, rejoining the community where the Harlem Renaissance all began.  Some of the visual references that Birch weaves into the work are African-American quilts, textile designs of Mexico and Africa, and visionary folk art."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Harlem Timeline</a>"
137th St-City College	40.822008	-73.953676	1	Steve Wood	Fossils	1988	Bronze relief on platform walls	"Steve Wood's artwork consists of 160 eight-by-eight-inch bronze relief tiles (80 on the uptown platform and 80 on the downtown side) that have been placed within the platform walls of the station.  The tiles portray the fossilized remains of a variety of biological life forms.  The artist's intent was to bring to the surface, in a subterranean public space, an exploration of the nature of what is found underground, usually through excavation.  In his words, ?The idea behind {Fossils} is simple: the subway is underground, fossils are found in the earth...I wanted these reliefs to be 'scattered' over the walls of the northbound and southbound platforms in such a way that both children and adults would see them personally and close-up. They are meant to be looked at, touched, talked about, and remembered.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Fossils</a>"
14th St -Eighth Avenue	40.822008	-73.953676	"A,C,E,L"	Tom Otterness	Life Underground	2001	"Bronze sculpture on railings, beams, and columns throughout station"	"The scores of figures created by Tom Otterness to {Life Underground} invigorate and transform the transit environment into a place of joy and whimsy.  *His small-scale sculptures invoke the subway and lore of the city and include an alligator rising out of a sewer to devour a man, workers carrying oversize versions of the tools used to build the subways, and people sneaking under fences to watch the construction or sweep up piles of pennies.  There are also colossal feet and a totem-like sculpture whose human features are formed into the shape of a telephone.  *Otterness placed his creations in unexpected places-beneath stairs and pillars, hanging from the ceiling, and on benches and railings-to surprise and delight riders as they come upon these humorous and captivating inhabitants."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Life Underground</a>"
Intervale Av	40.822181	-73.896736	"2,5"	Michael Kelly Williams	El 2 and El 5	1992	Glass mosaic on mezzanine walls	"Michael Kelly Williams' mosaics, {The El 2 and The El 5} draw their imagery from the experience of the elevated train - ?the movement, the sound, and the sense of time, and the visual cityscape and lights.?  {El 2}, the artist says, ?features a snake motif, seen in the track patterns, as well as symbols representing elevated structures and the signal lights in the subway.?  {El 5} ?suggests the movement of elevated trains throughout the city.  Light is a major theme of the piece, especially the burst of light that envelops a subway train when it leaves an underground tunnel and becomes elevated. African and Native American influences are integral to the work, as are arch shapes suggested by tunnels and 'els.'  Charged with energ,Y color, and music, reflecting myth and dance, these fulfill my wish to continue the tradition of mosaics in New York City's subway system.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">El 2 and El 5</a>"
Simpson St	40.824073	-73.893064	"2,5"	Lisa Amowitz	Urban Renewal	2008	Faceted glass in platform windscreens and station niches			"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Urban Renewal</a>"
161st St-Yankee Stadium	40.827905	-73.925651	"B,D,4"	Vito Acconci (Acconci Studio)	Wall-Slide	2002	"Stone, tile, and fiberglass installation throughout station complex"	"Vito Acconci creates the 161st Street Yankee Stadium station as an archaeological site and dislocates walls that allow the curious to ?see? the stone and steel underneath.  Elsewhere, protruding and receding walls provide seating for waiting travelers.  Parts of the project thrust through floors and ceilings and at one point even project aboveground.  The overall effect is as if the station has been pushed and pulled in various directions to accentuate the relationship of the building to the earth into which it has been inserted. *This project was one of the first collaborative efforts undertaken by Arts for Transit. The architects, di Domenico   Partners, in their redesign of the station, were challenged to open the lower levels to allow light to flow inside."	in collaboration with di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Wall-Slide</a>"
161st St-Yankee Stadium	40.827905	-73.925651	"B,D,4"	Helene Brandt	Room of Tranquility	2002	"Glass, stone, and marble mosaic mural on 4 mezzanine wall"	"At the Yankee Stadium elevated station, walls that open in Vito Acconci's shifting architectural forms reveal Helene Brandt's Room of Tranquility where all is peaceful, still, and reassuring.  Trees and sky seem real; the space appears to expand and depth is convincingly suggested.  In the artist's words, ?I envisioned an imaginary room revealed behind the sliding tile walls - a quiet, restful space with a radiant view to the outside, a room of tranquility.  I wanted the room to have illusionary windows that would seem to let the outside world penetrate into the station.?  Brandt rose to the challenge of responding to the site with a work that relates to Acconci's in counterpoint.  As she stated, ?I want my {Room of Tranquility} to look as if it has always existed and is only now exposed to view by the sliding tile walls.?  Her site-specific achieves a place of serenit,Y yet close to the roar of the crowds."	in cooperation with Acconci Studio and di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Room of Tranquility</a>"
Freeman St	40.829993	-73.891865	"2,5"	Daniel Hauben	The El	2007	Faceted glass in platform windscreens	"The elevated train stations located in the Bronx inspired {The El}. Artist Daniel Hauben a Bronx resident, has always been drawn to and inspired by the sense of scale provided by these immense structures when contrasted with their neighborhood settings, and his scenes, translated into faceted glass mosaics, depict the unique character of the Bronx through composition, pattern, light, darkness, and movement through the canvas. Hauben commented, that as one ?looks down a long street topped by the receding concentric pattern of the elevated structure, one has a feeling of both great depth and the sprawling vastness of the city.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">The El</a>"
167th St	40.833769	-73.918432	4	Carol Sun	A Bronx Reflection	2007	Faceted glass in passageway windscreens	"?Home is where the heart lives,? a quote by artist Carol Sun's brother, captures one of the themes of {A Bronx Reflection.}  Through colorful faceted glass windows along the east walkway of the station, Ms. Sun portrays a metaphorical reflection of the Bronx, capturing an illustrated timeline of the past, present, and future.   She includes various outdoor scenes, along with images of pleasant experiences of home and community life.  Capturing scenes of school buses, basketball games, and wildlife, Carol Sun reflects upon fond childhood memories in the Bronx."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">A Bronx Reflection</a>"
174th St	40.837288	-73.887734	"2,5"	Daniel Del Valle	A Trip Up the Bronx River	2004	Faceted glass in platform windscreens and window niches	"{A Trip Up the Bronx River} consists of ten faceted glass panels that depict a small group canoeing upstream and visiting such famous sites as the Bronx Zoo and the Botanical Garden.  En route, they pass  various neighborhoods, filled with color, pattern, and activity.  The artist also presents typical activities in which the community participates, such as a street festival, mask-making, and the planting of new trees.  Representations of flowers can be found in the station window niches, ?simple reflections of nature that surrounds us,? says the artist, Daniel Del Valle.  ?Even though not everyone can take this magical trip up the river to view these sites, the 2 and 5 trains can provide people easy access to travel to these locations.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">A Trip Up the Bronx River</a>"
170th St	40.839306	-73.9134	4	Dina Bursztyn	Views from Above	2006	Faceted glass in platform windscreens and mezzanine windows	"Dina Bursztyn's series of faceted glass windscreens and windows uses the unique vantage point offered from the elevated city's trains and platforms.  Bursztyn became especially well acquainted with the ?el? in the Bronx while riding it for many years.  Explaining the inspiration for the work, Bursztyn says that the birds and trees told her stories.  She viewed tiny gardens of lushness and dreamed of the exotic animals living in the zoo nearby.  In the evening, sunsets filled the sky with a kaleidoscope of color.  The train rides almost felt like riding through the clouds.  The artist strove to bring new meaning to familiar locations by sharing these visions."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Views from Above</a>"
Westchester Square-East Tremont Avenue	40.839892	-73.842952	6	Romare Bearden	"Untitled (""City of Light"") (Proposal created by artist, 1982)"	1993	Faceted glass triptych over stairway	"The hundreds of brilliant facets of Romare Bearden's glass triptych pulsate with energ,Y connected by the black thread of a subway train wending past tenements and skyscrapers.  The work began as a collage maquette; this was then transformed into a glowing artwork in jewel-like colored glass.  The three-paneled work is installed on the wall at the stairway landing. *Bearden was an accomplished artist and {City of Light} skillfully weaves together the spirit found in his beloved music, social concerns, and interest in trains.  The work was the result of a collaboration between Bearden and the fabricators, Benoit Gilsoul and Helmut Schardt.  Following the artist's death in 1988, they were able to complete the work from the preparatory studies and instructions he had left behind."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Untitled (""City of Light"") (Proposal created by artist, 1982)</a>"
West Farms Square-East Tremont Avenue	40.840295	-73.880049	"2,5"	Naomi Campbell	Animal Tracks	2004	Faceted glass in platform windscreens	"Naomi Campbell's facated glass windscreen panels feature animals in a variety of postures and settings.  The viewer notices complex compositions with layers of color and texture that place the animals in a lush settings.  The location of the work at the West Farms Square-East Tremont Avenue station is not coincidental; nearby is the world-famous Bronx Zoo.  The artist says that she considers {Animal Tracks} to be an integration of her past involvement in animal sciences with her art and ?a step toward the unity and community feeling paramount to our steps in the future.?  {Animal Tracks} serves as an introduction to the zoo to visitors just arriving at the station, and a reminder of the trip to those heading home."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Animal Tracks</a>"
Metropolitan Av/Lorimer St	40.844434	-73.914685	"G,L"	Jackie Chang	Signs of Life	2000	"Glass and ceramic tile on walls of mezzanine, transfer passagewa,Y and stairs to L platforms"	"Constructed of glass and ceramic tile, Jackie Chang's {Signs of Life} offers text and images arranged as a puzzle throughout the station.  A rock sits atop a pointed shape between two words, ?FAITH? and ?FATE.?  Other words -- ?MAN,? ?KIND,? ?IT,? ?SELF? - are in the path of a cresting wave below.  The artist seeks to spark the viewers' imaginations, perhaps hoping that interpretations will emerge over repeated viewings and rumination.  The tone of the messages are enigmatic:  are they optimistic or pessimistic; are they speaking of the past or to the future?   ?I kept my titles brief,? Chang says.  ?I wanted them to be challenging.?  In a sense, these bits of what Chang calls ?urban poetry? are an acknowledgment of the creative energy flowing through the community."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=G&station=1"">Signs of Life</a>"
Mount Eden	40.844434	-73.914685	4	Amir Bey	"The Procession of Folk #3,"	2006	Faceted glass in platform windscreens and mezzanine windows	"Amir Bey describes {The Procession of Folk #3} as a vision of humanity's collective movements.  Consisting of faceted glass in windscreens and windows,  Bey based the images on the faces of his acquaintances.  With its study of people, {Procession} speaks to all riders in its celebration of individuality.  The artist says, ?The identity of each face is specific, never to be repeated, even over thousands of generations, like the delicate changes of any flower's colors and shapes as it adapts to the Sun's motion...The face can be a portrait or a stylized fantasy - even when I'm making a portrait of an individual.  There is so much in the face, which is comprised of only a few components that can form complex expressions with endless variations, speaking a language that is universally understood.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">The Procession of Folk #3,</a>"
176th St	40.84848	-73.911794	4	Juan S?nchez	Reaching Out For Each Other	2006	Faceted glass in platform windscreens and mezzanine windows	"{Reaching Out for Each Other} by Juan S?nchez is a series of faceted glass windscreens and windows that brightens the 176th Street station with streaming rays of warm colors.  Hands are used as a central feature of the composition and serve to communicate meaning through a universal language.  Using printed photographs of hundreds of hands, S?nchez cut and tore the paper, interspersing the pieces with bright colors and interesting shapes to produce a variety of seasonal collages.  S?nchez explains his concept for the work, ?The challenge was to create simple, direct, and consistent works for an urban train station.  I wanted the artwork to be attractive and stimulating with much meaning and life. I wanted my art to visually convey people reaching and striving.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Reaching Out For Each Other</a>"
Bronx Park East	40.848828	-73.868457	"2,5"	Candida Alvarez	B is for Birds in the Bronx	2006	Faceted glass in platform windscreens	"{B is for Birds in the Bronx}, a series of faceted glass windscreen panels, was inspired by the birds that populate the Bronx.  While they may often not be noticed, birds are present in our urban environment, filling the air with song and the sky with flight.  The artist makes the birds prominent through scale and composition, placing them in the foreground but almost treating them as negative space.  As the artist explains, ?I wanted to subvert them by making them white, and make them invisible, large and regal.  The birds in their emptiness give attention to their transparency and how they hold a space for the trees, the bushes, the snow, the branches, the wind, the sk,Y and the leaves to exist, like a still-life painting...where the space outside of the object, really creates the form of the object... .?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">B is for Birds in the Bronx</a>"
Tremont Av	40.85041	-73.905227	"B,D"	Frank Leslie Hampton	Uptown New York	2000	"Glass, stone, and marble mosaic wall on mezzanine"	"{Uptown New York}, a colorful, airy celebration of apartment life in the Bronx, is the centerpiece of the Tremont Avenue subway station's renovation.  Drawn from his childhood memor,Y artist Frank Hampton created a tableau taken from the viewpoint of an actual rooftop location.  The viewer, looking through a building, sees the neighbors' furniture, the continuing view of nearby rooftops, other apartment buildings, and beyond to the skyscrapers of Manhattan.  ?I grew up in the Bronx gazing out of apartment windows that look out onto fire escapes, store signs, laundr,Y and buildings upon buildings,? said Hampton.  ?These have always seemed like mosaics to me, colorful, interacting, and in constant motion.  Windows played the role of a yard I didn't have.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Uptown New York</a>"
Burnside Av	40.853453	-73.907684	4	Laura Battle	How to get to the moon...	2008	Laminated glass in stairwell windows	"{How to Get to the Moon...}, a series of eight laminated glass panels at the Burnside Avenue station, takes its imagery from a Michelangelo mosaic, the phases of the moon, celestial navigation, and the spherical orbs of the sun and moon.  Artist Laura Battle uses the sphere to evoke wheels that convey motion and circles to evoke time and motion and provide a connection to the planetary forms.  Her blue and yellow palette speaks to the shifting of day into night in an uplifting and cheering artwork."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">How to get to the moon...</a>"
191st St	40.855225	-73.929412	1	Ra?l Col?n	Primavera	2003	Glass mosaic and faceted glass on stairway wall	"The artist visited the Washington Heights community and saw a diverse neighborhood, filled with children.  His response was a glass mosaic of a soaring couple dancing in an idyllic landscape and two faceted glass windows of children at play.  The artist says that he wanted something that would be uplifting and that he was inspired by the imagery and symbolism of early Renaissance murals, especially those of Piero della Francesca, known for their serenity and clarity.  According to artist Ra?l Col?n, ?The couple represented dancing is ethnically diverse....?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Primavera</a>"
183rd St	40.858407	-73.903879	4	Jose Ortiz	Many Trails	2008	Laminated glass in west side mezzanine windows	"To depict the cultural and history of University Heights, artist Jose Ortiz focused on its architecture, landmarks, and signage on the local streetscape, as a way to portray the people who lived here over time. The title of the work relates to the specific journeys of the areas many residents, from Native Americans, through today's immigrant population and to the idea of travel and how one finds ones way.*The first two panels of the 11panels he created show the land inhabited by the Siwanoy Nation, a branch of the Mohicans, until the late 1600s, followed by representations of the first settlement of Europeans in the area. Cornerstones of the neighborhood are also shown: the Croton Aqueduct, St. Nicholas of Tolentine Church, and the Hall of Fame for Great Americans at Bronx Community College. The work, which is to be read seriall,Y begins and ends with a Native American symbol that refers to the connection between the many people who have call this place home."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Many Trails</a>"
Pelham Parkway	40.858985	-73.855359	5	Tomie Arai	Back to the Garden	2007	Faceted glass in Platform windscreen	"Tomie Arai's {Back to the Garden} consists of 24 faceted glass windows at Pelham Parkway in the Bronx.  The work contains seasonal floral imagery-spring blossoms, summertime wallflowers, and autumn foliage.  The species shown are common to the area of Pelham Parkwa,Y which links Pelham Bay Park with the Bronx Zoo, and New York Botanical Garden.  Highlighting the historic nature of the station and the communit,Y Arai insets historic black and white photographs into her colorful images.  The photos have been screened and fired onto the glass surface.  Taken from archival photographs, they span the period from 1899 to 1969 and capture views of the surrounding streets and buildings.  The artwork's title refers to lyrics in a Joni Mitchell song about returning to the simple life, the life back in the garden."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=5&station=1"">Back to the Garden</a>"
Pelham Parkway	40.858985	-73.855359	2	Tomie Arai	Back to the Garden	2007	Faceted glass in Platform windscreen	"Tomie Arai's {Back to the Garden} consists of 24 faceted glass windows at Pelham Parkway in the Bronx.  The work contains seasonal floral imagery-spring blossoms, summertime wallflowers, and autumn foliage.  The species shown are common to the area of Pelham Parkwa,Y which links Pelham Bay Park with the Bronx Zoo, and New York Botanical Garden.  Highlighting the historic nature of the station and the communit,Y Arai insets historic black and white photographs into her colorful images.  The photos have been screened and fired onto the glass surface.  Taken from archival photographs, they span the period from 1899 to 1969 and capture views of the surrounding streets and buildings.  The artwork's title refers to lyrics in a Joni Mitchell song about returning to the simple life, the life back in the garden."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Back to the Garden</a>"
Dyckman St	40.860531	-73.925536	1	Wopo Holup	Flight	1991	Ceramic relief on mezzanine walls	"The artist created ceramic tile reliefs that reveal the grace of birds in flight.   Wopo Holup is concerned with integrating artwork into the site and finds inspiration in nature, and says, ?I like to think about how people will participate with the work, how they will move b,Y around, through, or over it.   With this movement in mind I have made works using several sculptural elements linking areas of a site into a single concept.  I looked at the station's existing tile frieze and continued the frieze as a relief tile band.   The relief shows a flight of birds - gold when they fly through the gold band and white as they travel over the white tile of the stairwells. I thought of the birds as flying along with the people as both ascend the stairs to the train's elevated platform.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Flight</a>"
Fordham Road	40.862803	-73.901034	4	Moses Ros	"Patriasana, Wholesomeland"	2005	Faceted/laminated glass in mezzanine windows	"Moses Ros' art is created in faceted and laminated glass within a series of windows to realize his vision.  In {Patriasana, Wholesomeland}, figures joyfully dance across the station, their brilliant colors and undulating movements speaking to the vibrancy of the community.  The figures are placed within backgrounds shaped to represent the items on sale in the surrounding shops along Fordham Road - an umbrella, a hat, a coat, boots, pants, and gloves.  The border between the panels and the rectangular window edge is made of translucent glass, that lets in the colors of the street outside to serve as a muted backdrop.  The original images were created as paintings on canvas and carved wood before being translated into fused and faceted glass windows.  The artist says, ?Their energy is inspired by the brilliant colors, music, and dance of the Caribbean - the essence of life itself.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Patriasana, Wholesomeland</a>"
Inwood-207th St	40.864614	-73.918819	A	Sheila Levrant de Bretteville	At the Start... At Long Last	1999	"Mirror mosaic text, silkscreened tiles, etched railings, and terrazzo pavers on the mezzanine"	"Sheila Levrant de Bretteville focuses on the origins and history of the multinational community in and around Inwood.  Within the station, a terrazzo paver marks the spot of the northern-most point of the A line, and metallic silver Murano mosaics compose the large letters that signal you are at a place of arrival and departure.   White-glazed ceramic tiles comment on the experience of recent immigrants to New York and on the elevator wall are figures from various present-day Latino civilizations.  Finall,Y there is a motif of flute-playing figures in terrazzo pavers on the mezzanine that comment on the role of music in the community.  ?Musical history resonates here,? she says, ?it is the soul of this community.?  She highlights this by etching lyrics from ?Take the A Train? on the stainless steel railing of the mezzanine stairwell."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">At the Start... At Long Last</a>"
Allerton Av	40.865462	-73.867352	"2,5"	Michele Brody	Allerton Mandalas	2006	Faceted glass in platform windscreens	"The abstract patterns seen in Michele Brody's faceted glass art are based on subway lines that run from the Bronx through Manhattan to Brooklyn, as represented graphically on the MTA subway map.  In the first stage of the work, Brody extracted the red and green lines and transformed them through a process of extrapolating, twisting, turning, and layering them.  The final product, in faceted-glass, captivates the viewer's attention with interlocking streams of colors.  Fabricated into 20 panels and placed on the subway platform for viewing from inside as well as outside the station, the work is full of movement that reflects the motion of a subway train."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Allerton Mandalas</a>"
